key,code,description
bad_market,BAD,Implausible market
retry_recovered,RET,Recovered by repeat poll
mixed_recovery,MIX,Recovered from adjacent polls
inferred_price,INF,Price inferred from spread history
missing_price,MISS,No reliable price
http_problem,HTTP,HTTP or source problem
auth_recovery,AUTH,Session recovery
finished_corner,FT,Finished match corner case
late_start,LATE,Match first seen after kick off
last_good,LAST,Used last consistent observed market
catalogue_missing,CATMISS,Tracked event disappeared from catalogue
catalogue_returned,CATRET,Tracked event returned to catalogue
timeline_missing,TLMISS,Tracked event disappeared from timeline feed
timeline_returned,TLRET,Tracked event returned to timeline feed
second_half_fallback,SHFB,Second half start recovered from strong fallback evidence
first_half_fallback,KOFB,First half start recovered from strong fallback evidence
ht_capture_diagnostic,HTDBG,HT boundary capture diagnostic
